NOMBRETOT,AUX_Tfno,DIR_LOCALIDAD,DIR_CP,DIR_PROVINCIA,ESTADO_2,ESTADO_1,NOMBRE1,DIR_COMPLETA,AUX_Idiomas,NOMBRE2,DIR_CALLE,TIEMPO
HOSPITAL VITHAS SAN JOSÉ,945140900,VITORIA,01008,GASTEIZ,APARATO DIGESTIVO,ALAVA/ARABA,HOSPITAL VITHAS SAN JOSÉ,"C/ Beato Tomás de Zumarraga, 10, 01008 - VITORIA-GASTEIZ - ALAVA/ARABA",,,"C/ Beato Tomás de Zumarraga, 10",2017-11-13T22:19:24.341000
"MARTÍN ASENJO, LAURA (HOSPITAL QUIRÓNSALUD VITORIA )",945252500,VITORIA,01002,GASTEIZ,APARATO DIGESTIVO,ALAVA/ARABA,"MARTÍN ASENJO, LAURA (HOSPITAL QUIRÓNSALUD VITORIA )","C/ La Esperanza, 3, 01002 - VITORIA-GASTEIZ - ALAVA/ARABA",,"MARTÍN ASENJO, LAURA (HOSPITAL QUIRÓNSALUD VITORIA )","C/ La Esperanza, 3",2017-11-13T22:19:25.013000
"ALEGRIA EZQUERRA, EDUARDO VICENTE (HOSPITAL QUIRÓNSALUD VITORIA )",945252500,VITORIA,01002,GASTEIZ,CARDIOLOGIA,ALAVA/ARABA,"ALEGRIA EZQUERRA, EDUARDO VICENTE (HOSPITAL QUIRÓNSALUD VITORIA )","C/ La Esperanza, 3, 01002 - VITORIA-GASTEIZ - ALAVA/ARABA",,"ALEGRIA EZQUERRA, EDUARDO VICENTE (HOSPITAL QUIRÓNSALUD VITORIA )","C/ La Esperanza, 3",2017-11-13T22:19:32.350000
"EREÑO BEROIZ, FERNÁNDO (HOSPITAL QUIRÓNSALUD VITORIA )",945252500,VITORIA,01002,GASTEIZ,CARDIOLOGIA,ALAVA/ARABA,"EREÑO BEROIZ, FERNÁNDO (HOSPITAL QUIRÓNSALUD VITORIA )","C/ La Esperanza, 3, 01002 - VITORIA-GASTEIZ - ALAVA/ARABA",,"EREÑO BEROIZ, FERNÁNDO (HOSPITAL QUIRÓNSALUD VITORIA )","C/ La Esperanza, 3",2017-11-13T22:19:33.274000
"ESTARAN ÁLVAREZ, RAFAEL (HOSPITAL VITHAS SAN JOSÉ )",945140900,VITORIA,01008,GASTEIZ,CARDIOLOGIA,ALAVA/ARABA,"ESTARAN ÁLVAREZ, RAFAEL (HOSPITAL VITHAS SAN JOSÉ )","C/ Beato Tomás de Zumarraga, 10, 01008 - VITORIA-GASTEIZ - ALAVA/ARABA",,"ESTARAN ÁLVAREZ, RAFAEL (HOSPITAL VITHAS SAN JOSÉ )","C/ Beato Tomás de Zumarraga, 10",2017-11-13T22:19:33.883000
HOSPITAL QUIRÓNSALUD VITORIA,945252500,VITORIA,01002,GASTEIZ,CARDIOLOGIA,ALAVA/ARABA,HOSPITAL QUIRÓNSALUD VITORIA,"C/ La Esperanza, 3, 01002 - VITORIA-GASTEIZ - ALAVA/ARABA",,,"C/ La Esperanza, 3",2017-11-13T22:19:34.484000
HOSPITAL VITHAS SAN JOSÉ,945140900,VITORIA,01008,GASTEIZ,CARDIOLOGIA,ALAVA/ARABA,HOSPITAL VITHAS SAN JOSÉ,"C/ Beato Tomás de Zumarraga, 10, 01008 - VITORIA-GASTEIZ - ALAVA/ARABA",,,"C/ Beato Tomás de Zumarraga, 10",2017-11-13T22:19:35.046000
"Moreno, Anai                                                                                                                    (Hospital Vithas San José                                                             )",945140900,VITORIA,01008,GASTEIZ,CARDIOLOGIA,ALAVA/ARABA,"Moreno, Anai                                                                                                                    (Hospital Vithas San José                                                             )","C/ Beato Tomás de Zumarraga, 10, 01008 - VITORIA-GASTEIZ - ALAVA/ARABA",,"Moreno, Anai                                                                                                                    (Hospital Vithas San José                                                             )","C/ Beato Tomás de Zumarraga, 10",2017-11-13T22:19:35.687000
"Morillas Bueno, Mª José",946726682,LAUDIO/LLODIO,01400,ALAVA/ARABA,CARDIOLOGIA,ALAVA/ARABA,"Morillas Bueno, Mª José","Avda. Zumalakarregui, 3-Bajo Centro Médico Aiala, 01400 - LAUDIO/LLODIO - ALAVA/ARABA",,,"Avda. Zumalakarregui, 3-Bajo Centro Médico Aiala",2017-11-13T22:19:36.296000
"Saenz Berbejillo, Alberto                                                                                                                    (Hospital Vithas San José                                                             )",945140900,VITORIA,01008,GASTEIZ,CARDIOLOGIA,ALAVA/ARABA,"Saenz Berbejillo, Alberto                                                                                                                    (Hospital Vithas San José                                                             )","C/ Beato Tomás de Zumarraga, 10, 01008 - VITORIA-GASTEIZ - ALAVA/ARABA",,"Saenz Berbejillo, Alberto                                                                                                                    (Hospital Vithas San José                                                             )","C/ Beato Tomás de Zumarraga, 10",2017-11-13T22:19:36.949000
"BARROS INGERTO, JORGE (HOSPITAL QUIRÓNSALUD VITORIA )",945252500,VITORIA,01002,GASTEIZ,CIRUGIA GENERAL Y DEL APARATO DIGESTIVO,ALAVA/ARABA,"BARROS INGERTO, JORGE (HOSPITAL QUIRÓNSALUD VITORIA )","C/ La Esperanza, 3, 01002 - VITORIA-GASTEIZ - ALAVA/ARABA",,"BARROS INGERTO, JORGE (HOSPITAL QUIRÓNSALUD VITORIA )","C/ La Esperanza, 3",2017-11-13T22:19:56.387000
"CENDOYA ANSOLA, IGNACIO",945140900,VITORIA,01008,GASTEIZ,CIRUGIA GENERAL Y DEL APARATO DIGESTIVO,ALAVA/ARABA,"CENDOYA ANSOLA, IGNACIO","C/ Beato Tomás de Zumárraga, 10 Policlínica San José, 01008 - VITORIA-GASTEIZ - ALAVA/ARABA",,,"C/ Beato Tomás de Zumárraga, 10 Policlínica San José",2017-11-13T22:19:57.108000
"FUENTES, IÑAKI (HOSPITAL VITHAS SAN JOSÉ )",945140900,VITORIA,01008,GASTEIZ,CIRUGIA GENERAL Y DEL APARATO DIGESTIVO,ALAVA/ARABA,"FUENTES, IÑAKI (HOSPITAL VITHAS SAN JOSÉ )","C/ Beato Tomás de Zumarraga, 10, 01008 - VITORIA-GASTEIZ - ALAVA/ARABA",,"FUENTES, IÑAKI (HOSPITAL VITHAS SAN JOSÉ )","C/ Beato Tomás de Zumarraga, 10",2017-11-13T22:19:57.688000
"GÓMEZ PORTILLA, ALBERTO",945140900,VITORIA,01008,GASTEIZ,CIRUGIA GENERAL Y DEL APARATO DIGESTIVO,ALAVA/ARABA,"GÓMEZ PORTILLA, ALBERTO","C/ Beato Tomás de Zumarraga, 10 Hospital Vithas San José, 01008 - VITORIA-GASTEIZ - ALAVA/ARABA",,,"C/ Beato Tomás de Zumarraga, 10 Hospital Vithas San José",2017-11-13T22:19:58.215000
HOSPITAL QUIRÓNSALUD VITORIA,945252500,VITORIA,01002,GASTEIZ,CIRUGIA GENERAL Y DEL APARATO DIGESTIVO,ALAVA/ARABA,HOSPITAL QUIRÓNSALUD VITORIA,"C/ La Esperanza, 3, 01002 - VITORIA-GASTEIZ - ALAVA/ARABA",,,"C/ La Esperanza, 3",2017-11-13T22:19:58.778000
Hospital Vithas San José,945140900,VITORIA,01008,GASTEIZ,CIRUGIA GENERAL Y DEL APARATO DIGESTIVO,ALAVA/ARABA,Hospital Vithas San José,"C/ Beato Tomás de Zumarraga, 10, 01008 - VITORIA-GASTEIZ - ALAVA/ARABA",,,"C/ Beato Tomás de Zumarraga, 10",2017-11-13T22:19:59.335000
"Magrach Barcenilla, Luis Alberto                                                                                                                    (Hospital Quirónsalud Vitoria                                                             )",945252500,VITORIA,01002,GASTEIZ,CIRUGIA GENERAL Y DEL APARATO DIGESTIVO,ALAVA/ARABA,"Magrach Barcenilla, Luis Alberto                                                                                                                    (Hospital Quirónsalud Vitoria                                                             )","C/ La Esperanza, 3, 01002 - VITORIA-GASTEIZ - ALAVA/ARABA",,"Magrach Barcenilla, Luis Alberto                                                                                                                    (Hospital Quirónsalud Vitoria                                                             )","C/ La Esperanza, 3",2017-11-13T22:19:59.917000
"Sierra Esteban, Valentin                                                                                                                    (Hospital Vithas San José                                                             )",945140900,VITORIA,01008,GASTEIZ,CIRUGIA GENERAL Y DEL APARATO DIGESTIVO,ALAVA/ARABA,"Sierra Esteban, Valentin                                                                                                                    (Hospital Vithas San José                                                             )","C/ Beato Tomás de Zumarraga, 10, 01008 - VITORIA-GASTEIZ - ALAVA/ARABA",,"Sierra Esteban, Valentin                                                                                                                    (Hospital Vithas San José                                                             )","C/ Beato Tomás de Zumarraga, 10",2017-11-13T22:20:00.493000
"Vitores López, Jose Mª                                                                                                                    (Hospital Vithas San José                                                             )",945140900,VITORIA,01008,GASTEIZ,CIRUGIA GENERAL Y DEL APARATO DIGESTIVO,ALAVA/ARABA,"Vitores López, Jose Mª                                                                                                                    (Hospital Vithas San José                                                             )","C/ Beato Tomás de Zumarraga, 10, 01008 - VITORIA-GASTEIZ - ALAVA/ARABA",,"Vitores López, Jose Mª                                                                                                                    (Hospital Vithas San José                                                             )","C/ Beato Tomás de Zumarraga, 10",2017-11-13T22:20:01.078000
"BALLESTEROS HERNÁNDEZ, AGUSTIN (HOSPITAL VITHAS SAN JOSÉ )",945140900,VITORIA,01008,GASTEIZ,CIRUGIA PLASTICA,ALAVA/ARABA,"BALLESTEROS HERNÁNDEZ, AGUSTIN (HOSPITAL VITHAS SAN JOSÉ )","C/ Beato Tomás de Zumarraga, 10, 01008 - VITORIA-GASTEIZ - ALAVA/ARABA",,"BALLESTEROS HERNÁNDEZ, AGUSTIN (HOSPITAL VITHAS SAN JOSÉ )","C/ Beato Tomás de Zumarraga, 10",2017-11-13T22:20:19.051000
HOSPITAL QUIRÓNSALUD VITORIA,945252500,VITORIA,01002,GASTEIZ,CIRUGIA PLASTICA,ALAVA/ARABA,HOSPITAL QUIRÓNSALUD VITORIA,"C/ La Esperanza, 3, 01002 - VITORIA-GASTEIZ - ALAVA/ARABA",,,"C/ La Esperanza, 3",2017-11-13T22:20:19.607000
HOSPITAL VITHAS SAN JOSÉ,945140900,VITORIA,01008,GASTEIZ,CIRUGIA PLASTICA,ALAVA/ARABA,HOSPITAL VITHAS SAN JOSÉ,"C/ Beato Tomás de Zumarraga, 10, 01008 - VITORIA-GASTEIZ - ALAVA/ARABA",,,"C/ Beato Tomás de Zumarraga, 10",2017-11-13T22:20:20.172000
"VILLENA ALBARADO, PERCY ISRAEL (HOSPITAL QUIRÓNSALUD VITORIA )",945252500,VITORIA,01002,GASTEIZ,CIRUGIA PLASTICA,ALAVA/ARABA,"VILLENA ALBARADO, PERCY ISRAEL (HOSPITAL QUIRÓNSALUD VITORIA )","C/ La Esperanza, 3, 01002 - VITORIA-GASTEIZ - ALAVA/ARABA",,"VILLENA ALBARADO, PERCY ISRAEL (HOSPITAL QUIRÓNSALUD VITORIA )","C/ La Esperanza, 3",2017-11-13T22:20:20.760000
"ASPE UNANUE, LIBE (HOSPITAL QUIRÓNSALUD VITORIA )",945252500,VITORIA,01002,GASTEIZ,DERMATOLOGIA,ALAVA/ARABA,"ASPE UNANUE, LIBE (HOSPITAL QUIRÓNSALUD VITORIA )","C/ La Esperanza, 3, 01002 - VITORIA-GASTEIZ - ALAVA/ARABA",,"ASPE UNANUE, LIBE (HOSPITAL QUIRÓNSALUD VITORIA )","C/ La Esperanza, 3",2017-11-13T22:20:33.743000
HOSPITAL QUIRÓNSALUD VITORIA,945252500,VITORIA,01002,GASTEIZ,DERMATOLOGIA,ALAVA/ARABA,HOSPITAL QUIRÓNSALUD VITORIA,"C/ La Esperanza, 3, 01002 - VITORIA-GASTEIZ - ALAVA/ARABA",,,"C/ La Esperanza, 3",2017-11-13T22:20:34.280000
"LAUZURICA PÉREZ, EDUARDO",945248898,VITORIA,01008,GASTEIZ,DERMATOLOGIA,ALAVA/ARABA,"LAUZURICA PÉREZ, EDUARDO","C/ Sancho El Sabio, 21 2º Dcha., 01008 - VITORIA-GASTEIZ - ALAVA/ARABA",,,"C/ Sancho El Sabio, 21 2º Dcha.",2017-11-13T22:20:34.917000
"PIQUERES ZUBIARRE, TATIANA (HOSPITAL QUIRÓNSALUD VITORIA )",945252500,VITORIA,01002,GASTEIZ,DERMATOLOGIA,ALAVA/ARABA,"PIQUERES ZUBIARRE, TATIANA (HOSPITAL QUIRÓNSALUD VITORIA )","C/ La Esperanza, 3, 01002 - VITORIA-GASTEIZ - ALAVA/ARABA",,"PIQUERES ZUBIARRE, TATIANA (HOSPITAL QUIRÓNSALUD VITORIA )","C/ La Esperanza, 3",2017-11-13T22:20:35.500000
"DIEZ LÓPEZ, IGNACIO (HOSPITAL VITHAS SAN JOSÉ )",945140900,VITORIA,01008,GASTEIZ,ENDOCRINOLOGIA,ALAVA/ARABA,"DIEZ LÓPEZ, IGNACIO (HOSPITAL VITHAS SAN JOSÉ )","C/ Beato Tomás de Zumarraga, 10, 01008 - VITORIA-GASTEIZ - ALAVA/ARABA",,"DIEZ LÓPEZ, IGNACIO (HOSPITAL VITHAS SAN JOSÉ )","C/ Beato Tomás de Zumarraga, 10",2017-11-13T22:20:42.668000
HOSPITAL QUIRÓNSALUD VITORIA,945252500,VITORIA,01002,GASTEIZ,ENDOCRINOLOGIA,ALAVA/ARABA,HOSPITAL QUIRÓNSALUD VITORIA,"C/ La Esperanza, 3, 01002 - VITORIA-GASTEIZ - ALAVA/ARABA",,,"C/ La Esperanza, 3",2017-11-13T22:20:43.287000
HOSPITAL VITHAS SAN JOSÉ,945140900,VITORIA,01008,GASTEIZ,ENDOCRINOLOGIA,ALAVA/ARABA,HOSPITAL VITHAS SAN JOSÉ,"C/ Beato Tomás de Zumarraga, 10, 01008 - VITORIA-GASTEIZ - ALAVA/ARABA",,,"C/ Beato Tomás de Zumarraga, 10",2017-11-13T22:20:43.888000
"MUNGUIRA GONZALEZ, MARU",945146600,VITORIA,01005,GASTEIZ,ENDOCRINOLOGIA,ALAVA/ARABA,"MUNGUIRA GONZALEZ, MARU","Pza. Amarica, 4 Bajo Medicentro Amarica, 01005 - VITORIA-GASTEIZ - ALAVA/ARABA",,,"Pza. Amarica, 4 Bajo Medicentro Amarica",2017-11-13T22:20:44.484000
"SERRANO MUÑOZ, TERESA (HOSPITAL QUIRÓNSALUD VITORIA )",945252500,VITORIA,01002,GASTEIZ,ENDOCRINOLOGIA,ALAVA/ARABA,"SERRANO MUÑOZ, TERESA (HOSPITAL QUIRÓNSALUD VITORIA )","C/ La Esperanza, 3, 01002 - VITORIA-GASTEIZ - ALAVA/ARABA",,"SERRANO MUÑOZ, TERESA (HOSPITAL QUIRÓNSALUD VITORIA )","C/ La Esperanza, 3",2017-11-13T22:20:45.001000
HOSPITAL QUIRÓNSALUD VITORIA,945252500,VITORIA,01002,GASTEIZ,ENFERMERIA,ALAVA/ARABA,HOSPITAL QUIRÓNSALUD VITORIA,"C/ La Esperanza, 3, 01002 - VITORIA-GASTEIZ - ALAVA/ARABA",,,"C/ La Esperanza, 3",2017-11-13T22:20:52.220000
"CAÑADA PÉREZ, MARTA (MEDIPLAN SPORT )",945060919,VITORIA,01008,GASTEIZ,FISIOTERAPIA,ALAVA/ARABA,"CAÑADA PÉREZ, MARTA (MEDIPLAN SPORT )","C/ Pintor Obdulio López Uralde, 4 Bajo, 01008 - VITORIA-GASTEIZ - ALAVA/ARABA",,"CAÑADA PÉREZ, MARTA (MEDIPLAN SPORT )","C/ Pintor Obdulio López Uralde, 4 Bajo",2017-11-13T22:20:59.608000
CLÍNICA SB GASTEIZ,945283169,VITORIA,01001,GASTEIZ,FISIOTERAPIA,ALAVA/ARABA,CLÍNICA SB GASTEIZ,"Pça. de la Provincia, 9 2º D, 01001 - VITORIA-GASTEIZ - ALAVA/ARABA",,,"Pça. de la Provincia, 9 2º D",2017-11-13T22:21:00.312000
"GARDOQUI JARAS, ESTHER (MEDIPLAN SPORT )",945060919,VITORIA,01008,GASTEIZ,FISIOTERAPIA,ALAVA/ARABA,"GARDOQUI JARAS, ESTHER (MEDIPLAN SPORT )","C/ Pintor Obdulio López Uralde, 4 Bajo, 01008 - VITORIA-GASTEIZ - ALAVA/ARABA",,"GARDOQUI JARAS, ESTHER (MEDIPLAN SPORT )","C/ Pintor Obdulio López Uralde, 4 Bajo",2017-11-13T22:21:00.939000
"GÓMEZ MANZANEDO, ALAITZ (CLÍNICA SB GASTEIZ )",945283169,VITORIA,01001,GASTEIZ,FISIOTERAPIA,ALAVA/ARABA,"GÓMEZ MANZANEDO, ALAITZ (CLÍNICA SB GASTEIZ )","Pça. de la Provincia, 9 2º D, 01001 - VITORIA-GASTEIZ - ALAVA/ARABA",,"GÓMEZ MANZANEDO, ALAITZ (CLÍNICA SB GASTEIZ )","Pça. de la Provincia, 9 2º D",2017-11-13T22:21:01.548000
"JIMENEZ SANZ, ANA ISABEL (CLÍNICA SB GASTEIZ )",945283169,VITORIA,01001,GASTEIZ,FISIOTERAPIA,ALAVA/ARABA,"JIMENEZ SANZ, ANA ISABEL (CLÍNICA SB GASTEIZ )","Pça. de la Provincia, 9 2º D, 01001 - VITORIA-GASTEIZ - ALAVA/ARABA",,"JIMENEZ SANZ, ANA ISABEL (CLÍNICA SB GASTEIZ )","Pça. de la Provincia, 9 2º D",2017-11-13T22:21:02.152000
Mediplan Sport,945060919,VITORIA,01008,GASTEIZ,FISIOTERAPIA,ALAVA/ARABA,Mediplan Sport,"C/ Pintor Obdulio López Uralde, 4 Bajo, 01008 - VITORIA-GASTEIZ - ALAVA/ARABA",,,"C/ Pintor Obdulio López Uralde, 4 Bajo",2017-11-13T22:21:02.740000
"Ruiz Saenz de Ormijana, Miriam                                                                                                                    (Mediplan Sport                                                             )",945060919,VITORIA,01008,GASTEIZ,FISIOTERAPIA,ALAVA/ARABA,"Ruiz Saenz de Ormijana, Miriam                                                                                                                    (Mediplan Sport                                                             )","C/ Pintor Obdulio López Uralde, 4 Bajo, 01008 - VITORIA-GASTEIZ - ALAVA/ARABA",,"Ruiz Saenz de Ormijana, Miriam                                                                                                                    (Mediplan Sport                                                             )","C/ Pintor Obdulio López Uralde, 4 Bajo",2017-11-13T22:21:03.338000
"Villasur Herrero, Judit                                                                                                                    (Mediplan Sport                                                             )",945060919,VITORIA,01008,GASTEIZ,FISIOTERAPIA,ALAVA/ARABA,"Villasur Herrero, Judit                                                                                                                    (Mediplan Sport                                                             )","C/ Pintor Obdulio López Uralde, 4 Bajo, 01008 - VITORIA-GASTEIZ - ALAVA/ARABA",,"Villasur Herrero, Judit                                                                                                                    (Mediplan Sport                                                             )","C/ Pintor Obdulio López Uralde, 4 Bajo",2017-11-13T22:21:03.956000
"Yaniz García, Beatriz                                                                                                                    (Clínica SB Gasteiz                                                             )",945283169,VITORIA,01001,GASTEIZ,FISIOTERAPIA,ALAVA/ARABA,"Yaniz García, Beatriz                                                                                                                    (Clínica SB Gasteiz                                                             )","Pça. de la Provincia, 9 2º D, 01001 - VITORIA-GASTEIZ - ALAVA/ARABA",,"Yaniz García, Beatriz                                                                                                                    (Clínica SB Gasteiz                                                             )","Pça. de la Provincia, 9 2º D",2017-11-13T22:21:04.569000
"DIEGO BENITO, Mª JOSÉ (HOSPITAL VITHAS SAN JOSÉ )",945140900,VITORIA,01008,GASTEIZ,HEMATOLOGIA Y HEMOTERAPIA,ALAVA/ARABA,"DIEGO BENITO, Mª JOSÉ (HOSPITAL VITHAS SAN JOSÉ )","C/ Beato Tomás de Zumarraga, 10, 01008 - VITORIA-GASTEIZ - ALAVA/ARABA",,"DIEGO BENITO, Mª JOSÉ (HOSPITAL VITHAS SAN JOSÉ )","C/ Beato Tomás de Zumarraga, 10",2017-11-13T22:21:12.284000
HOSPITAL VITHAS SAN JOSÉ,945140900,VITORIA,01008,GASTEIZ,HEMATOLOGIA Y HEMOTERAPIA,ALAVA/ARABA,HOSPITAL VITHAS SAN JOSÉ,"C/ Beato Tomás de Zumarraga, 10, 01008 - VITORIA-GASTEIZ - ALAVA/ARABA",,,"C/ Beato Tomás de Zumarraga, 10",2017-11-13T22:21:12.841000
HOSPITAL QUIRÓNSALUD VITORIA,945252500,VITORIA,01002,GASTEIZ,HOSPITALIZACION,ALAVA/ARABA,HOSPITAL QUIRÓNSALUD VITORIA,"C/ La Esperanza, 3, 01002 - VITORIA-GASTEIZ - ALAVA/ARABA",,,"C/ La Esperanza, 3",2017-11-13T22:21:26.858000
HOSPITAL VITHAS SAN JOSÉ,945140900,VITORIA,01008,GASTEIZ,HOSPITALIZACION,ALAVA/ARABA,HOSPITAL VITHAS SAN JOSÉ,"C/ Beato Tomás de Zumarraga, 10, 01008 - VITORIA-GASTEIZ - ALAVA/ARABA",,,"C/ Beato Tomás de Zumarraga, 10",2017-11-13T22:21:27.402000
"GARCÍA RUÍZ, FERNANDO",945252500,VITORIA,01002,GASTEIZ,MEDICINA INTERNA,ALAVA/ARABA,"GARCÍA RUÍZ, FERNANDO","C/ Esperanza, 3 Hospital Quirónsalud Vitoria, 01002 - VITORIA-GASTEIZ - ALAVA/ARABA",,,"C/ Esperanza, 3 Hospital Quirónsalud Vitoria",2017-11-13T22:21:49.121000
HOSPITAL QUIRÓNSALUD VITORIA,945252500,VITORIA,01002,GASTEIZ,MEDICINA INTERNA,ALAVA/ARABA,HOSPITAL QUIRÓNSALUD VITORIA,"C/ La Esperanza, 3, 01002 - VITORIA-GASTEIZ - ALAVA/ARABA",,,"C/ La Esperanza, 3",2017-11-13T22:21:49.860000
"SAINZ GARCÍA, JESÚS ÁNGEL (HOSPITAL QUIRÓNSALUD VITORIA )",945252500,VITORIA,01002,GASTEIZ,MEDICINA INTERNA,ALAVA/ARABA,"SAINZ GARCÍA, JESÚS ÁNGEL (HOSPITAL QUIRÓNSALUD VITORIA )","C/ La Esperanza, 3, 01002 - VITORIA-GASTEIZ - ALAVA/ARABA",,"SAINZ GARCÍA, JESÚS ÁNGEL (HOSPITAL QUIRÓNSALUD VITORIA )","C/ La Esperanza, 3",2017-11-13T22:21:50.447000
"HERNÁNDEZ GRACIA, Mª CARMEN (HOSPITAL QUIRÓNSALUD VITORIA )",945252500,VITORIA,01002,GASTEIZ,NEUMOLOGIA,ALAVA/ARABA,"HERNÁNDEZ GRACIA, Mª CARMEN (HOSPITAL QUIRÓNSALUD VITORIA )","C/ La Esperanza, 3, 01002 - VITORIA-GASTEIZ - ALAVA/ARABA",,"HERNÁNDEZ GRACIA, Mª CARMEN (HOSPITAL QUIRÓNSALUD VITORIA )","C/ La Esperanza, 3",2017-11-13T22:22:12.835000
HOSPITAL QUIRÓNSALUD VITORIA,945252500,VITORIA,01002,GASTEIZ,NEUMOLOGIA,ALAVA/ARABA,HOSPITAL QUIRÓNSALUD VITORIA,"C/ La Esperanza, 3, 01002 - VITORIA-GASTEIZ - ALAVA/ARABA",,,"C/ La Esperanza, 3",2017-11-13T22:22:13.360000
"CARRERO TOLOSA, IÑAKI (HOSPITAL QUIRÓNSALUD VITORIA )",945252500,VITORIA,01002,GASTEIZ,NEUROFISIOLOGIA CLINICA,ALAVA/ARABA,"CARRERO TOLOSA, IÑAKI (HOSPITAL QUIRÓNSALUD VITORIA )","C/ La Esperanza, 3, 01002 - VITORIA-GASTEIZ - ALAVA/ARABA",,"CARRERO TOLOSA, IÑAKI (HOSPITAL QUIRÓNSALUD VITORIA )","C/ La Esperanza, 3",2017-11-13T22:22:28.498000
